City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Vila Franca Do Campo,PT,2022-02-08 22:11:12,37.7167,-25.4333,57.61,77,98,7.36
67,Klaksvik,FO,2022-02-08 22:11:13,62.2266,-6.589,34.72,65,99,41.11
68,Sangar,RU,2022-02-08 22:11:13,63.9242,127.4739,-39.98,100,99,1.57
69,Chuy,UY,2022-02-08 22:11:13,-33.6971,-53.4616,68.36,64,11,7.83
70,Xian,CN,2022-02-08 22:11:14,34.2583,108.9286,32.72,56,96,0.85
71,Khatanga,RU,2022-02-08 22:11:14,71.9667,102.5,4.42,83,100,16.71
72,Novoseleznevo,RU,2022-02-08 22:11:15,55.6821,69.2056,5.0,96,71,6.29
73,Reconquista,AR,2022-02-08 22:06:18,-29.15,-59.65,89.11,20,0,7.81
74,Narsaq,GL,2022-02-08 22:11:15,60.9167,-46.05,-8.68,74,15,5.39
75,Touros,BR,2022-02-08 22:11:16,-5.1989,-35.4608,83.3,70,5,16.42
76,Matehuala,MX,2022-02-08 22:11:16,23.65,-100.65,56.5,45,49,3.91
77,Butaritari,KI,2022-02-08 22:11:17,3.0707,172.7902,81.84,77,72,13.91
78,Karratha,AU,2022-02-08 22:11:17,-20.7377,116.8463,82.53,76,68,4.85
79,Fortuna,US,2022-02-08 22:10:30,40.5982,-124.1573,72.43,73,0,11.5
80,Mingshui,CN,2022-02-08 22:11:17,36.7167,117.5,33.94,56,100,4.85
81,Tucurui,BR,2022-02-08 22:11:18,-3.7661,-49.6725,76.17,94,99,3.11
82,Alekseyevsk,RU,2022-02-08 22:11:18,57.8406,108.3492,-23.04,100,82,3.22
83,Kapaa,US,2022-02-08 22:11:18,22.0752,-159.319,79.2,65,40,10.36
84,Calatayud,ES,2022-02-08 22:11:19,41.3535,-1.6432,50.58,69,2,0.96
85,Avarua,CK,2022-02-08 22:11:19,-21.2078,-159.775,80.65,83,40,8.05
86,Krasnoselkup,RU,2022-02-08 22:11:19,65.7,82.4667,-11.76,91,100,10.49
87,Awbari,LY,2022-02-08 22:11:20,26.5921,12.7805,54.57,29,4,9.17
88,Oussouye,SN,2022-02-08 22:11:20,12.485,-16.5469,73.94,56,1,6.11
89,Chicama,PE,2022-02-08 22:11:20,-7.8447,-79.1469,68.54,60,64,9.33
90,Morondava,MG,2022-02-08 22:12:21,-20.2833,44.2833,79.81,80,100,1.88
91,Rouvroy,FR,2022-02-08 22:12:21,50.3925,2.904,48.56,77,100,9.46
92,Alofi,NU,2022-02-08 22:12:21,-19.0595,-169.9187,75.09,94,100,3.44
93,Tiksi,RU,2022-02-08 22:12:22,71.6872,128.8694,-19.61,99,74,8.99
94,Bathsheba,BB,2022-02-08 22:12:22,13.2167,-59.5167,77.61,69,40,17.27
95,Barajevo,RS,2022-02-08 22:12:22,44.5789,20.4158,40.48,75,70,11.72
96,Sakaiminato,JP,2022-02-08 22:12:23,35.55,133.2333,33.73,73,100,17.92
97,Qaanaaq,GL,2022-02-08 22:12:23,77.484,-69.3632,-13.72,92,100,5.44
98,Hasaki,JP,2022-02-08 22:12:23,35.7333,140.8333,32.29,64,96,15.05
99,Saint-Georges,GD,2022-02-08 22:12:24,12.0564,-61.7485,80.28,69,20,11.5
100,Yatou,CN,2022-02-08 22:11:38,37.15,122.3833,32.14,60,100,4.14
101,Shestakovo,RU,2022-02-08 22:12:14,56.4915,103.96,-8.93,99,98,4.0
102,Bluff,NZ,2022-02-08 22:09:59,-46.6,168.3333,59.81,85,94,10.2
103,Berbera,SO,2022-02-08 22:12:24,10.4396,45.0143,75.0,71,5,5.95
104,Jamestown,US,2022-02-08 22:08:34,42.097,-79.2353,27.09,54,100,10.0
105,Puerto Leguizamo,CO,2022-02-08 22:12:25,-0.1934,-74.7819,75.27,89,100,0.89
106,Carutapera,BR,2022-02-08 22:12:25,-1.195,-46.02,76.51,92,86,5.03
107,Ribeira Grande,PT,2022-02-08 22:12:26,38.5167,-28.7,60.44,69,97,5.46
108,Hobyo,SO,2022-02-08 22:12:26,5.3505,48.5268,76.12,72,24,20.54
109,Castro,BR,2022-02-08 22:12:26,-24.7911,-50.0119,66.72,84,71,5.26
110,Verkhoyansk,RU,2022-02-08 22:12:27,67.5447,133.385,-46.26,99,90,1.21
111,Pozo Colorado,PY,2022-02-08 22:12:27,-23.4923,-58.7972,87.93,20,0,7.02
112,Ahuimanu,US,2022-02-08 22:12:27,21.4447,-157.8378,80.31,66,75,11.5
113,Barrow,US,2022-02-08 22:10:02,71.2906,-156.7887,-29.18,100,0,8.05
114,Myitkyina,MM,2022-02-08 22:12:28,25.3833,97.4,51.24,81,3,3.62
115,Solnechnyy,RU,2022-02-08 22:12:28,50.7214,136.6319,-5.19,97,91,3.29
116,Panguna,PG,2022-02-08 22:12:28,-6.3164,155.4848,75.42,84,99,2.17
117,Aklavik,CA,2022-02-08 22:12:29,68.2191,-135.0107,-33.54,96,61,5.1
118,Bardiyah,LY,2022-02-08 22:12:29,31.7561,25.0865,53.76,54,86,25.17
119,Ribeirao,BR,2022-02-08 22:12:29,-8.5144,-35.3778,82.71,81,1,6.8
120,Rio Gallegos,AR,2022-02-08 22:12:30,-51.6226,-69.2181,61.47,28,38,14.94
121,Port Elizabeth,ZA,2022-02-08 22:12:30,-33.918,25.5701,64.69,94,75,12.66
122,New Norfolk,AU,2022-02-08 22:11:26,-42.7826,147.0587,63.91,68,58,2.68
123,Luderitz,NA,2022-02-08 22:12:31,-26.6481,15.1594,70.23,75,27,9.53
124,Linxia,CN,2022-02-08 22:12:31,35.6003,103.2064,7.36,92,60,4.43
125,Russell,US,2022-02-08 22:12:31,32.3502,-85.1999,58.15,33,0,8.05
126,Pevek,RU,2022-02-08 22:12:32,69.7008,170.3133,-32.37,100,46,4.7
127,Miri,MY,2022-02-08 22:12:32,4.4148,114.0089,74.95,92,100,5.46
128,Maragogi,BR,2022-02-08 22:12:32,-9.0122,-35.2225,80.06,75,2,10.92
129,Dingle,PH,2022-02-08 22:12:32,10.9995,122.6711,73.85,89,91,10.31
130,Burnie,AU,2022-02-08 22:12:33,-41.0667,145.9167,61.9,80,100,9.24
131,Chokurdakh,RU,2022-02-08 22:12:33,70.6333,147.9167,-43.85,100,97,5.68
132,Kamenka,RU,2022-02-08 22:12:34,51.3223,42.7678,32.76,96,100,14.05
133,Port Macquarie,AU,2022-02-08 22:13:34,-31.4333,152.9167,74.89,72,6,4.97
134,Sekondi,GH,2022-02-08 22:13:34,4.937,-1.7128,79.41,84,24,7.38
135,Dunedin,NZ,2022-02-08 22:13:35,-45.8742,170.5036,58.8,86,100,3.0
136,Evanston,US,2022-02-08 22:09:28,42.0411,-87.6901,39.61,65,75,11.5
137,Gorbatov,RU,2022-02-08 22:13:35,56.1331,43.0583,31.01,99,100,7.07
138,Watsa,CD,2022-02-08 22:13:35,3.0372,29.5355,68.97,39,79,1.45
139,Taoudenni,ML,2022-02-08 22:13:36,22.6783,-3.9836,70.5,11,0,11.41
140,Miyako,JP,2022-02-08 22:13:36,39.6367,141.9525,27.97,67,14,5.57
141,Saint-Augustin,CA,2022-02-08 22:13:36,51.226,-58.6502,11.82,96,88,9.98
142,Amboasary,MG,2022-02-08 22:13:36,-25.0333,46.3833,78.35,76,100,8.77
143,Saskylakh,RU,2022-02-08 22:13:37,71.9167,114.0833,2.61,84,100,14.83
144,Darnah,LY,2022-02-08 22:13:37,32.767,22.6367,53.65,53,98,27.27
145,Deputatskiy,RU,2022-02-08 22:13:38,69.3,139.9,-37.19,97,52,5.59
146,Tautira,PF,2022-02-08 22:13:38,-17.7333,-149.15,86.02,79,67,18.43
147,Mikkeli,FI,2022-02-08 22:13:38,61.6886,27.2723,28.51,93,100,4.61
148,Norman Wells,CA,2022-02-08 22:13:38,65.282,-126.8329,-20.78,92,97,1.63
149,Hilo,US,2022-02-08 22:11:17,19.7297,-155.09,77.11,73,100,8.01
150,Kuala Terengganu,MY,2022-02-08 22:13:39,5.3302,103.1408,75.47,87,100,1.32
151,Savannah Bight,HN,2022-02-08 22:13:39,16.45,-85.85,80.65,69,1,11.72
152,Faanui,PF,2022-02-08 22:13:39,-16.4833,-151.75,81.75,78,17,19.73
153,Asfi,MA,2022-02-08 22:11:06,32.2994,-9.2372,62.82,53,8,10.36
154,Ilulissat,GL,2022-02-08 22:12:30,69.2167,-51.1,-7.58,64,38,26.46
155,Lagoa,PT,2022-02-08 22:13:40,39.05,-27.9833,59.72,74,86,13.2
156,Tuatapere,NZ,2022-02-08 22:12:32,-46.1333,167.6833,59.83,77,94,3.83
157,Nipawin,CA,2022-02-08 22:13:40,53.3668,-104.0009,30.24,80,100,13.8
158,Port Augusta,AU,2022-02-08 22:13:41,-32.5,137.7667,68.7,66,48,14.79
159,Port Lincoln,AU,2022-02-08 22:13:41,-34.7333,135.8667,65.59,75,100,9.66
160,Hamilton,US,2022-02-08 22:13:41,39.1834,-84.5333,47.25,55,0,10.36
161,Neuenhagen,DE,2022-02-08 22:13:42,52.5299,13.6891,48.15,88,100,10.87
162,Severnoye,RU,2022-02-08 22:13:42,56.3491,78.3619,-12.62,100,33,5.95
163,Victoria,HK,2022-02-08 22:13:42,22.2855,114.1577,61.32,85,100,5.99
164,Pueblo,US,2022-02-08 22:13:43,38.2545,-104.6091,57.49,24,0,5.99
165,Dikson,RU,2022-02-08 22:13:43,73.5069,80.5464,1.4,95,100,21.65
166,Luau,AO,2022-02-08 22:13:43,-10.7073,22.2247,63.5,97,99,2.71
167,Beringovskiy,RU,2022-02-08 22:12:19,63.05,179.3167,-19.77,90,5,12.1
168,Sotnikovo,RU,2022-02-08 22:13:44,51.8845,107.4791,-3.91,84,95,2.24
169,Cristobal Obregon,MX,2022-02-08 22:13:44,16.35,-93.5333,70.86,89,100,5.84
170,Hofn,IS,2022-02-08 22:13:44,64.2539,-15.2082,28.53,61,100,13.42
171,Geraldton,AU,2022-02-08 22:13:45,-28.7667,114.6,61.21,82,0,10.36
172,Makhinjauri,GE,2022-02-08 22:13:45,41.6739,41.694,51.66,54,75,26.46
173,Malanje,AO,2022-02-08 22:13:45,-9.5402,16.341,61.23,90,100,2.71
174,Lebu,CL,2022-02-08 22:13:46,-37.6167,-73.65,62.8,81,20,18.45
175,Byron Bay,AU,2022-02-08 22:13:46,-28.65,153.6167,75.15,72,15,5.88
176,Zhuhai,CN,2022-02-08 22:13:46,22.2769,113.5678,61.05,82,40,17.27
177,Villa Sandino,NI,2022-02-08 22:13:47,12.0483,-84.9936,85.01,41,74,12.73
178,Radece,SI,2022-02-08 22:13:47,46.0681,15.1839,39.11,64,2,4.56
179,Westport,US,2022-02-08 22:12:35,41.1415,-73.3579,39.02,65,100,17.27
180,Airai,TL,2022-02-08 22:14:47,-8.9266,125.4092,61.16,94,100,0.54
181,Tuktoyaktuk,CA,2022-02-08 22:14:48,69.4541,-133.0374,-40.0,67,20,3.44
182,Yarada,IN,2022-02-08 22:14:48,17.65,83.2667,72.88,71,6,1.19
183,Vieux-Habitants,GP,2022-02-08 22:14:48,16.0589,-61.7659,79.72,68,15,11.65
184,Nouadhibou,MR,2022-02-08 22:14:49,20.931,-17.0347,66.18,94,98,10.36
185,Dickinson,US,2022-02-08 22:14:49,29.4608,-95.0513,67.1,35,0,3.44
186,Ponta Do Sol,PT,2022-02-08 22:12:37,32.6667,-17.1,66.83,51,32,9.55
187,Makakilo City,US,2022-02-08 22:14:49,21.3469,-158.0858,80.92,54,75,11.5
188,Kasempa,ZM,2022-02-08 22:14:50,-13.4584,25.8338,63.5,97,100,3.49
189,Acapulco,MX,2022-02-08 22:10:11,16.8634,-99.8901,84.02,65,40,8.05
190,Huarmey,PE,2022-02-08 22:14:50,-10.0681,-78.1522,74.26,73,26,8.57
191,Ocos,GT,2022-02-08 22:14:51,14.5094,-92.1933,86.5,64,14,7.9
192,Kargasok,RU,2022-02-08 22:14:51,59.0556,80.8572,-18.62,100,8,5.14
193,Kanigoro,ID,2022-02-08 22:14:51,-8.13,112.219,71.92,93,100,5.68
194,Sorland,NO,2022-02-08 22:14:52,67.667,12.6934,35.67,61,100,31.85
195,Venice,US,2022-02-08 22:13:54,27.0998,-82.4543,56.14,98,75,10.36
196,Hervey Bay,AU,2022-02-08 22:14:52,-25.2986,152.8535,77.04,77,29,7.0
197,Georgetown,MY,2022-02-08 22:11:27,5.4112,100.3354,78.89,87,20,0.0
198,Lasa,IT,2022-02-08 22:14:52,46.6166,10.7002,44.06,48,1,5.39
199,Saldanha,ZA,2022-02-08 22:14:53,-33.0117,17.9442,63.45,92,64,7.43
200,Tambopata,PE,2022-02-08 22:14:53,-12.7333,-69.1833,84.54,60,81,2.48
201,Brownfield,US,2022-02-08 22:14:53,33.1812,-102.2744,67.95,12,7,12.44
202,Te Anau,NZ,2022-02-08 22:14:54,-45.4167,167.7167,63.79,70,91,0.94
203,Phan Thiet,VN,2022-02-08 22:12:02,10.9333,108.1,73.45,81,100,7.7
204,Baijiantan,CN,2022-02-08 22:14:54,45.6333,85.1833,3.94,97,80,0.13
205,Codrington,AU,2022-02-08 22:14:55,-38.2667,141.9667,67.41,72,99,6.78
206,Voineasa,RO,2022-02-08 22:14:55,44.2833,24.1333,33.35,69,0,8.05
207,Aykhal,RU,2022-02-08 22:14:55,66.0,111.5,-20.7,100,78,4.56
208,Beasain,ES,2022-02-08 22:14:55,43.0502,-2.2009,56.86,82,10,7.85
209,Hualmay,PE,2022-02-08 22:14:56,-11.0964,-77.6139,73.49,72,28,8.77
210,Vitim,RU,2022-02-08 22:14:56,59.4511,112.5578,-9.36,97,100,2.98
211,Pangnirtung,CA,2022-02-08 22:14:56,66.1451,-65.7125,-7.6,77,100,9.22
212,Kawalu,ID,2022-02-08 22:12:38,-7.3817,108.2082,73.33,92,99,1.54
213,Inta,RU,2022-02-08 22:14:57,66.0317,60.1659,-6.84,91,93,4.25
214,Ayolas,PY,2022-02-08 22:14:57,-27.4,-56.9,83.64,34,0,2.68
215,Kozhva,RU,2022-02-08 22:14:57,65.1073,57.0459,6.21,85,31,11.68
216,Palana,RU,2022-02-08 22:14:58,59.1167,159.9667,-1.62,93,90,6.13
217,Mahebourg,MU,2022-02-08 22:14:59,-20.4081,57.7,75.49,88,75,4.61
218,San-Pedro,CI,2022-02-08 22:14:59,4.7485,-6.6363,79.02,85,18,7.07
219,East London,ZA,2022-02-08 22:10:22,-33.0153,27.9116,74.28,87,4,5.28
220,Ternate,ID,2022-02-08 22:15:00,0.8,127.4,78.98,83,100,5.35
221,Tadine,NC,2022-02-08 22:15:00,-21.55,167.8833,81.05,88,100,19.33
222,Tsumeb,NA,2022-02-08 22:15:01,-19.2333,17.7167,67.55,57,41,3.22
223,Dumai,ID,2022-02-08 22:15:01,1.6833,101.45,72.75,97,99,0.85
224,Namatanai,PG,2022-02-08 22:15:02,-3.6667,152.4333,81.73,76,100,4.63
225,Lar,IN,2022-02-08 22:15:03,26.2039,83.9717,54.5,82,0,4.29
226,Gamba,GA,2022-02-08 22:15:03,-2.65,10.0,76.95,91,91,5.55
227,Kaitangata,NZ,2022-02-08 22:16:04,-46.2817,169.8464,58.69,85,100,9.28
228,Paamiut,GL,2022-02-08 22:16:04,61.994,-49.6678,-0.44,80,100,11.27
229,Nioro,GM,2022-02-08 22:16:05,13.35,-15.75,82.99,10,4,7.27
230,Det Udom,TH,2022-02-08 22:16:05,14.906,105.0784,80.26,63,78,6.82
231,Mezen,RU,2022-02-08 22:16:06,65.8522,44.24,16.41,93,99,10.27
232,Hermiston,US,2022-02-08 22:13:25,45.8404,-119.2895,62.42,51,0,3.44
233,Plouzane,FR,2022-02-08 22:16:06,48.3833,-4.6167,46.72,93,100,6.91
234,Guiratinga,BR,2022-02-08 22:16:07,-16.3494,-53.7583,74.35,89,97,4.63
235,Chandrapur,IN,2022-02-08 22:11:57,19.95,79.3,69.35,45,26,5.68
236,Trairi,BR,2022-02-08 22:16:07,-3.2778,-39.2689,79.93,77,12,12.24
237,Betsiamites,CA,2022-02-08 22:16:07,48.9413,-68.646,26.49,95,100,15.03
238,Swan Hill,AU,2022-02-08 22:16:08,-35.3378,143.5544,78.03,39,78,8.23
239,Vanavara,RU,2022-02-08 22:16:08,60.34,102.2797,-26.0,99,34,3.8
240,Alegrete,BR,2022-02-08 22:16:08,-29.7831,-55.7919,84.33,23,0,6.67
241,Angoche,MZ,2022-02-08 22:16:09,-16.2325,39.9086,77.34,89,100,5.17
242,Marawi,PH,2022-02-08 22:16:09,7.9986,124.2928,64.65,94,100,1.63
243,Kodiak,US,2022-02-08 22:16:09,57.79,-152.4072,26.11,59,0,13.8
244,Sitka,US,2022-02-08 22:16:10,57.0531,-135.33,44.49,87,100,17.27
245,Kijang,KR,2022-02-08 22:16:10,35.2442,129.2139,36.88,55,58,6.82
246,Los Llanos De Aridane,ES,2022-02-08 22:16:10,28.6585,-17.9182,65.12,53,0,8.05
247,San Carlos De Bariloche,AR,2022-02-08 22:16:11,-41.1456,-71.3082,74.95,29,0,20.71
248,Waingapu,ID,2022-02-08 22:16:11,-9.6567,120.2641,78.42,83,98,3.76
249,Yuncheng,CN,2022-02-08 22:16:11,35.0231,110.9928,30.4,72,89,1.45
250,Torbay,CA,2022-02-08 22:16:12,47.6666,-52.7314,29.57,83,100,17.27
251,Heliconia,CO,2022-02-08 22:16:12,6.2069,-75.7337,68.9,100,75,6.91
252,Kaeo,NZ,2022-02-08 22:16:12,-35.1,173.7833,75.33,98,84,9.08
253,Cherskiy,RU,2022-02-08 22:16:13,68.75,161.3,-42.63,100,84,4.38
254,Cabatuan,PH,2022-02-08 22:16:13,10.8794,122.486,73.85,88,87,12.84
255,Anadyr,RU,2022-02-08 22:16:13,64.75,177.4833,-30.5,68,20,8.95
256,Porbandar,IN,2022-02-08 22:16:14,21.6422,69.6093,67.68,78,0,8.16
257,Cidreira,BR,2022-02-08 22:16:14,-30.1811,-50.2056,72.68,69,46,12.93
258,Alexandria,EG,2022-02-08 22:16:15,31.2156,29.9553,59.09,63,41,11.41
259,Vanimo,PG,2022-02-08 22:16:15,-2.6741,141.3028,78.62,88,80,3.2
260,Mogadishu,SO,2022-02-08 22:16:15,2.0371,45.3438,76.5,86,8,20.74
261,Bontang,ID,2022-02-08 22:16:16,0.1333,117.5,75.58,91,100,6.58
262,Chase,CA,2022-02-08 22:15:34,50.8165,-119.6857,41.2,94,100,1.79
263,Chapais,CA,2022-02-08 22:16:16,49.7834,-74.8492,19.18,95,100,4.94
264,Verkhnevilyuysk,RU,2022-02-08 22:16:17,63.4453,120.3167,-33.25,100,100,1.88
